Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10uF,
C13,0603,1,0.22uF,
"C19, C20",0603,2,22uF,
"C2, C9",0603,2,0.1uF,
C3,0603,1,47uF,
C4,0402,1,1uF,
C5,0402,1,10uF,
J1,CONN_X05A20L15T_XKB,1,X05A20L15T,
J2,TYPE-C-31-M-12,1,TYPE-C-31-M-12,
"R1, R10, R9",0603,3,100k,
R11,0603,1,5.6M,
R12,0603,1,33k,
"R13, R3",0603,2,10k,
R2,0603,1,50k,
R23,0603,1,100R,
R24,0603,1,1.8k,
"R4, R6",0603,2,2k2,
"R5, R8",0402,2,5.1k,
R7,0603,1,910,
U1,DRT0003A,1,TPD2EUSB30DRTR,
U2,RGW0020A-IPC_A,1,TPS7A4700RGWR,
U3,ESP32-S3-MINI-1_EXP,1,ESP32-S3-MINI-1-N8,
U4,D14,1,LM324,
U5,PW28,1,TLC59116IPWR,
U6,DBV5-M,1,OPA140AIDBVR,
