Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",0603,2,10uF,
"C13, C2, C7, C9",0603,4,0.1uF,
C18,0603,1,440pF,
"C19, C20",0603,2,22uF,
C3,0402,1,47uF,
C4,0402,1,1uF,
C5,0402,1,10uF,
D1,LED_D3.0mm,1,D_Photo,
"D2, D3, D5, D6",LED_D3.0mm,4,LED,
J1,CONN_X05A20L15T_XKB,1,X05A20L15T,
J2,TYPE-C-31-M-12,1,TYPE-C-31-M-12,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
R1,0402,1,10k,
"R10, R9",0603,2,100k,
R11,0603,1,8.1M,
R12,0603,1,33k,
"R13, R14, R22, R7",0603,4,330,
R2,0402,1,1M,
R23,0603,1,100R,
R24,0603,1,1.8k,
R3,0603,1,10k,
"R4, R6",0603,2,2k2,
"R5, R8",0402,2,5.1k,
"TP1, TP2",TestPoint_Pad_D1.0mm,2,TestPoint,
U1,DRT0003A,1,TPD2EUSB30DRTR,
U2,RGW0020A-IPC_A,1,TPS7A4700RGWR,
U3,ESP32-S3-MINI-1_EXP,1,ESP32-S3-MINI-1-N8,
U4,D14,1,LM324,
U6,DBV5-M,1,OPA140AIDBVR,
U7,SOT-523,1,DMN2310UT-13,
